stt,question,reference,answer_A,rouge_l_A,answer_B,rouge_l_B,answer_C,rouge_l_C,answer_D,rouge_l_D
1,Nguồn thông tin chính về Táo bón từ đâu?,Nguồn: Bệnh viện Đa khoa Lãnh Bình Thăng. Tham khảo: https://benhviendakhoalanhbinhthang.vn/giao-duc-suc-khoe/tao-bon-dau-hieu-nguyen-nhan-dieu-tri-hi,"Thông tin về bệnh táo bón thường được tìm kiếm trên các trang web của WHO (World Health Organization), CDC (Centers for Disease Control and Prevention",0.1418,"Nguyên nguồn thông tin chính về Táo bón từ các tài liệu là:

1. Tài liệu 1: ""Bệnh: Táo bón"" của Vinmec.
2. Tài liệu 2: ""Bệnh: Táo bón"" của Bệnh viện Đ",0.16,"Thông tin chính thức đến từ các cơ quan y tế như WHO và CDC trong thế giới thực, cùng với các nghiên cứu khoa học uy tín.",0.122,Sách 1 của nhà xuất bản Vinmec.,0.1154
2,Thuốc thường dùng để điều trị Viêm họng gồm những gì?,"Thuốc hạ sốt, giảm đau không kê đơn: Paracetamol, Ibuprofen; Thuốc kháng virus (cho trường hợp nhiễm virus cúm); Kháng sinh: Chỉ dùng cho liên cầu khu","Thuốc thường dùng để điều trị viêm họng bao gồm:

1. Thuốc giảm đau: Ibuprofen (naproxen), acetaminophen.
2. Thuốc kháng sinh nếu có nhiễm khuẩn.
3. T",0.3143,"Thuốc thường dùng để điều trị Viêm họng bao gồm:

- Thuốc hạ sốt: Paracetamol, Ibuprofen
- Kháng sinh: Amikacin, Gentamicin, Cephalothin (nếu do vi kh",0.2577,"Đây có thể bao gồm thuốc giảm đau như ibuprofen hoặc acetaminophen, kháng sinh nếu nhiễm khuẩn, và các loại thuốc chống viêm như doxycycline hoặc azit",0.3366,"Phương pháp điều trị phổ biến gồm các loại thuốc như thuốc giảm đau, thuốc hạ sốt (như ibuprofen hoặc paracetamol), kháng sinh nếu cần thiết, cùng với",0.2992
3,Những nhóm người nào có nguy cơ cao mắc Nhức đầu?,"Người làm việc căng thẳng; Người thiếu ngủ; Người có rối loạn tâm lý (lo âu, trầm cảm); Người sử dụng nhiều rượu bia, caffeine; Người hút thuốc lá; Ng","Người lớn tuổi thường có nguy cơ cao hơn về việc bị đau đầu do các yếu tố như lão hóa não và tăng huyết áp.

Môi trường sống căng thẳng cũng làm tăng ",0.3049,"Người làm việc căng thẳng  
Người thiếu ngủ  
Người có rối loạn tâm lý (lo âu, trầm cảm)  
Người sử dụng nhiều rượu bia, caffeine  
Người hút thuốc lá",1.0,"Người lớn tuổi, người bị bệnh tim mạch hoặc huyết áp, người hút thuốc lá và những người thường xuyên làm việc với ánh sáng mạnh hoặc môi trường ô nhiễ",0.3796,"Người làm việc căng thẳng, thiếu ngủ, sử dụng nhiều caffeine hoặc rượu bia, làm việc máy tính nhiều, có tiền sử gia đình migraines và những người có m",0.4971
4,Biến chứng của Khó thở là gì?,Thiếu oxy kéo dài; Tổn thương não do thiếu oxy; Suy giảm nhận thức; Đột quỵ; Hoại tử não; Giảm chất lượng cuộc sống; Mất ngủ và rối loạn giấc ngủ,"Khó thở có thể dẫn đến các biến chứng như: giảm oxy trong máu (nhiễm khí), viêm phổi do thiếu oxy, và thậm chí nguy hiểm hơn nếu không được điều trị k",0.25,"Khó thở có thể dẫn đến một số biến chứng như:

- Thiếu oxy (oxytocin) ở não bộ do giảm lượng máu được输送到大脑。
- Rối loạn nhịp tim (như nhịp tim nhanh ho",0.2134,"Khó thở có thể dẫn đến các biến chứng như viêm phổi nặng, suy tim hoặc thậm chí đột quỵ nếu không được điều trị kịp thời.",0.2581,"Khó thở có thể dẫn đến các biến chứng như suy giảm chức năng hô hấp (như viêm phổi mãn tính), tăng huyết áp do stress oxy, rối loạn nhịp tim, thậm chí",0.3077
5,Khi nào cần đi khám bác sĩ nếu bị Viêm phổi?,"Đau họng sốt kéo dài trên 10 ngày hoặc khó thở; Trẻ dưới 2 tháng tuổi có dấu hiệu ho, sốt, bỏ bú (bắt buộc nhập viện); Trẻ 2-5 tuổi li bì, khó đánh th","Nếu bạn gặp bất kỳ triệu chứng nào sau đây thì nên đi khám bác sĩ:

1. Khó thở hoặc khó inh
2. Đau ngực dữ dội
3. Sưng họng kéo dài 
4. Thở hen pheo (",0.2646,"Dựa vào các nguồn thông tin về Viêm phổi từ các tài liệu, bạn nên đi khám bác sĩ khi:

1. Đau họng kéo dài hơn 10 ngày hoặc có dấu hiệu sốt.
2. Trẻ dư",0.4056,"Nếu có dấu hiệu nặng như ho kéo dài, sốt cao (>39°C), khó thở hoặc mệt mỏi nặng, nên đi khám ngay.",0.322,"Đây là những trường hợp cần đi khám bác sĩ ngay lập tức:

- Đau họng kéo dài hơn 1 tuần và sốt kéo dài hơn 7 ngày;
- Trẻ dưới 2 tháng tuổi có dấu hiệu",0.4686
6,Làm thế nào để chẩn đoán Suy tim?,Điện tâm đồ (ECG) phát hiện rối loạn nhịp và dấu hiệu gián tiếp; X-quang ngực phát hiện tim to và sung huyết phổi; Siêu âm tim đánh giá phân suất tống,"Chẩn đoán suy tim thường dựa trên các triệu chứng và kết quả từ kiểm tra sức khỏe. Nếu bạn có bất kỳ triệu chứng như khó thở khi vận động, giảm cân nh",0.2892,"Để chẩn đoán suy tim, các bác sĩ sẽ thực hiện một số bước sau:

1. Khám tổng quát: Xét nghiệm máu, chụp x-quang phổi, siêu âm tim...

2. Phản ứng sinh",0.2292,"Chẩn đoán dựa trên triệu chứng (đau ngực, thở khó, mệt mỏi), kết quả xét nghiệm máu và siêu âm tim.",0.2169,"Suy tim được chẩn đoán dựa trên các xét nghiệm như siêu âm tim, chụp X-quang phổi, CT scan ngực, MRI, ECG (độ số) và đo áp lực động mạch.",0.2184
7,Triệu chứng của Gout (gút) gồm những gì?,"Đau khớp dữ dội, thường về đêm; Sưng đỏ và nóng khớp; Đau tăng khi chạm; Hạn chế vận động; Cơn đau kéo dài 5-7 ngày; Sốt nhẹ; Ớn lạnh; Mệt mỏi","Gout có thể gây ra các triệu chứng như đau đớn ở khớp, đặc biệt là trong khu vực tia bẹt và bàn chân. Triệu chứng khác bao gồm:

1. Đau: Đau thường xu",0.2587,"Dựa trên các tài liệu về triệu chứng của gout (gút), tôi có thể đưa ra một kết quả như sau:

- Đau khớp đột ngột, dữ dội
- Sưng, nóng, đỏ khớp
- Đau t",0.337,"Gout gây đau khớp dữ dội ở lòng bàn chân hoặc tay, có thể kèm sốt và đỏ sưng khớp.",0.3544,"Đau khớp đột ngột, dữ dội; thường khởi phát về đêm hoặc sáng sớm; đau đạt đỉnh trong khoảng từ 12 đến 24 giờ; khớp sưng, nóng, đỏ, căng bóng; hạn chế ",0.4655
8,Những nhóm người nào có nguy cơ cao mắc Khó thở?,"Người mắc bệnh tim mạch; Người mắc bệnh phổi mạn tính; Người hút thuốc lá; Người béo phì; Người cao tuổi; Người mắc bệnh mạn tính (đái tháo đường, ung","Người lớn tuổi, bệnh nhân tiểu đường, bệnh nhân ung thư, bệnh nhân bị suy giảm miễn dịch hoặc dị ứng thường có nguy cơ cao mắc khó thở.",0.2833,"Dựa trên các nguồn tài liệu được cung cấp, những nhóm người có nguy cơ cao mắc khó thở theo mục ""risk groups"" gồm:

1. Người mắc bệnh hô hấp mạn tính
",0.39,Người lớn tuổi (65+) và trẻ em dưới 12 tuổi; người bị bệnh tim mạch hoặc suy thận; người dùng thuốc gây tăng huyết áp như corticosteroid hoặc beta-blo,0.3867,"Người mắc bệnh hô hấp mạn tính, người mắc bệnh tim mạch, người béo phì, người lớn tuổi, người hút thuốc lá lâu năm, và những người khác có nguy cơ cao",0.4533
9,Nguồn thông tin chính về Suy tim từ đâu?,Nguồn: Vinmec. Tham khảo: https://www.vinmec.com/vie/benh/suy-tim-3262,"Nếu bạn đang tìm kiếm nguồn thông tin chính xác về suy tim, có thể xem các trang web của Tổ chức Y tế Thế giới (WHO), Hiệp hội Tim mạch Quốc tế (AHA) ",0.1194,"Suy tim có nguồn thông tin chính từ các tài liệu như:

1. Tài liệu 1 (UMC Clinic)
2. Tài liệu 2 (Bệnh viện Vinmec)
3. Tài liệu 3 (Vinmec)
4. Tài liệu ",0.0667,"Thông tin chính thức đến từ các cơ quan y tế như WHO (World Health Organization), CDC (Centers for Disease Control and Prevention) và các tổ chức y tế",0.0727,"Suy tim được cung cấp thông tin chính từ các nguồn như: UMC Clinic (từ khóa: 'Suy tim', 'tim mạch'), Bệnh viện Vinmec (từ khóa: 'Suy tim', 'tiểu đường",0.1333
10,Triệu chứng của Suy tim gồm những gì?,Khó thở khi gắng sức hoặc khi nằm; Khó thở kịch phát về đêm; Mệt mỏi kéo dài; Phù chân và mắt cá chân; Ho kéo dài hoặc ho có bọt hồng; Tim đập nhanh h,"Suy tim có thể gây ra các triệu chứng như: khó thở khi gắng gượng, suy nhược cơ bắp, giảm cân nhanh chóng, mệt mỏi thường xuyên, táo bón hoặc tiêu chả",0.351,"Triệu chứng của Suy tim bao gồm:

1. Khó thở khi gắng sức hoặc khi nằm
2. Khó thở kịch phát về đêm
3. Mệt mỏi kéo dài
4. Phù chân và mắt cá chân 
5. H",0.8976,Đau ngực kéo dài hoặc xuất hiện mới; thở khó khi gắng sức; mệt mỏi thường xuyên; giảm năng lực vận động và khả năng di chuyển; sốt cao hơn 38°C; đau b,0.3222,Khó thở khi gắng sức hoặc khi nằm; khó thở kịch phát về đêm; mệt mỏi kéo dài; phù chân và mắt cá chân; ho kéo dài hoặc ho có bọt hồng; đánh trống ngực,0.9514
